Workflow Name,Block Type,Block Name,Block Duration,Block Assignees,Block Logic Name,Block Logic Condition,Form Name,Form Section,Form Section Logic Name,Form Section Logic Condition,Question Type,Question ID,Question Title,Question Description,Question Logic Name,Question Logic Condition,Question Core Data
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Commercial,,,Dropdown,newPurchaseRequestV02-page-4-question-1,Nature of the engagement,Please select the type of engagement into which we will enter with the provider.,,,
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Commercial,,,Dropdown,newPurchaseRequestV03-page-4-question-6,What is the length of this third party engagement?,Please indicate the length of the engagement. If a definitive duration is not specified please provide your preferred ideal length for this engagement.,,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV02-page-4-question-1"",""questionType"":""dropdown""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Fixed Term""}}]}",
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Commercial,,,Dropdown,newPurchaseRequestV03-Legal Security & Technology information-question-10,Renewal clause,Does this engagement include an automatic renewal clause? Kindly specify if this engagement contains a clause for automatic renewal in the contract.,,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV02-page-4-question-1"",""questionType"":""dropdown""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Fixed Term""}}]}",
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Commercial,,,Total value,totalValue,Total Contract Value,"If you currently possess the order form/contract kindly specify the total cost as detailed in the document. If you have only received a quote or an initial indicative cost please provide that information. State the cost excluding any applicable taxes and VAT. If you're opting for a monthly subscription please indicate the estimated cost per annum.Example 1: You are signing a contract with a cost of $10000 per annum for three years with an implementation fee of $5000. The total contract value is therefore $35000.Example 2: You're buying a monthly subscription for $100 per month. Please enter the annual value as the total value; in this case would be $1200.For FREE Trials & POCs please enter ""0"" as the amount.",,,
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Commercial,,,dropdown,paymentType,Please choose the payment method for this arrangement.,Wise's standard payment method is via invoice. Please refer to our [Corporate Card Policy](https://transferwise.atlassian.net/wiki/spaces/FIN/pages/2976858643/Corporate+credit+card+policy) for more information. Direct debits are only to be used with appropriate approval from Accounts Payable.,,,payment-methods
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Commercial,,,dropdown,department,Please select the cost centre that will be incurring this cost.,The appropriate Finance business partner managing the cost centre will be notified of the vendor request.If unsure of which cost centre to select please consult with your manager or a member of the Finance team. If the cost is split between multiple cost centres please choose the main one.,,,department
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Commercial,,,Contract: start date,contractStartDate,Start Date,Please indicate the planned or proposed start date for this engagement.,,,
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Commercial,,,Contract: end date,contractEndDate,Contract: End date,Please enter the contract end date if known. In case of a POC please indicate the tentative end date for the trial and in case of a recurring agreement the next known renewal date.,,,
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Commercial,,,File upload,newPurchaseRequestV03-Legal Security & Technology information-question-5,Commercials,Please upload any commercial/pricing documents relating to this engagement such as quotes proposals and draft commercial documents.,,,
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Commercial,,,Address,address,Please provide the registered address of the third party.,If you have this information now please populate - otherwise the supplier will need to populate this.,,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""NOT_EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""paymentType"",""source"":""payment-methods"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""4b2626a1-cea1-416e-82b7-1f58f99f3dac"",""source"":""payment-methods""}}]}",
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Attestation,,,Radio group,MainAssessmentQ54,Do you require login information such as username and password or API keys and tokens to use this service or solution?,Any services requiring login information will have to be registered in UT.,,"{""key"":0,""type"":""OR"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""25ae02e0-34c0-4ecb-a991-ca74c2b4c9f9"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":1,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""73657b36-6f7f-4b76-86c1-137aebff1dfd"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":2,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""c4751937-9492-4da9-aaec-009c4b9f04e6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":3,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""150a51dc-2d14-4a3e-8188-c245880ee567"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":4,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""80ee0765-423e-4e91-8325-341dd26f4651"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":5,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""bf546be8-328d-478e-b5c4-50ea44f58a5e"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":6,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""7cbb6ab4-397c-4ab3-9b8b-c2aaaf48deff"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":7,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""887a9f7c-8571-44ff-8d56-7126466c4834"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":8,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""633c83a2-0916-48ae-85aa-1ff6ec7a4a6d"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":9,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""e40f32b0-e26c-49e2-ab97-95b90d0b349f"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":10,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""e9210173-b1c4-4d7a-ab68-6c361fecbbf9"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":11,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""67e57044-d293-4d7b-afbc-24b707d4b588"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}}]}",
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Attestation,,,Radio group,MainAssessmentQ48,Do the services provided involve the use of Artificial Intelligence (including Large Language Models) or Machine Learning (AI/ML)?,Consider whether your services use AI/ML for tasks such as data analysis decision-making automation natural language Processing or any other function that involves learning from data or simulating human intelligence.,,"{""key"":0,""type"":""OR"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""7cbb6ab4-397c-4ab3-9b8b-c2aaaf48deff"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":1,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""887a9f7c-8571-44ff-8d56-7126466c4834"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":2,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""633c83a2-0916-48ae-85aa-1ff6ec7a4a6d"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}}]}",
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Attestation,,,Boolean,newPurchaseRequestV03-page-5-question-7,Does the third party process any non-public Wise data other than Wise employee names emails and IP addresses?,,,"{""key"":0,""type"":""OR"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""63bc1318-c03c-4605-a13b-deb4762cac25"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":1,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""82717bc5-3142-43fd-8400-14a58490679f"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":2,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""b6705187-3c89-42ef-8110-b0c85d0dc593"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":3,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""8f436281-9aa1-4dcd-90d3-8658ecb16daa"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":4,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""f7667ec4-5b3c-47fc-ae66-f8a45681f7b3"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":5,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""5c71b65e-c2e5-46a3-be0f-5983633ffb17"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":6,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""25ae02e0-34c0-4ecb-a991-ca74c2b4c9f9"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":7,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""01afec59-68b9-4af7-bfd0-ff507ed91155"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":8,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""7cbb6ab4-397c-4ab3-9b8b-c2aaaf48deff"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":9,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""13e2dbc2-956e-4a84-b58d-1ad73df58424"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":10,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""73657b36-6f7f-4b76-86c1-137aebff1dfd"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":11,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""887a9f7c-8571-44ff-8d56-7126466c4834"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":12,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""c4751937-9492-4da9-aaec-009c4b9f04e6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":13,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""150a51dc-2d14-4a3e-8188-c245880ee567"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":14,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""80ee0765-423e-4e91-8325-341dd26f4651"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":15,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""bf546be8-328d-478e-b5c4-50ea44f58a5e"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":16,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""633c83a2-0916-48ae-85aa-1ff6ec7a4a6d"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":17,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""d8fc2056-ab5f-4133-b599-ae94ddd906ca"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":18,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""48ac19d6-dffd-4f9b-b93e-66ded6aec73b"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":19,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""e40f32b0-e26c-49e2-ab97-95b90d0b349f"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":20,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""e9210173-b1c4-4d7a-ab68-6c361fecbbf9"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":21,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""67e57044-d293-4d7b-afbc-24b707d4b588"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}}]}",
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Attestation,,,Radio group,newPurchaseRequestV02-page-5-question-1,Acknowledgement of Contracting Process,Per Wise's Third Party Management and Outsourcing Policy we are required to perform Due Diligence and obtain approval before finalizing a contract with a third party. Kindly refrain from executing the contract until the onboarding process for the third party has been satisfactorily completed.PS! If you're sharing Wise data with your counterparty during onboarding you should sign a Non-Disclosure Agreement (NDA). Learn more about [NDAs here](https://transferwise.atlassian.net/wiki/spaces/TPM/pages/3747986721/Third+Party+Contract+Management+Hub+-+DRAFT+not+final#1%EF%B8%8F%E2%83%A3--Non-Disclose-Agreement-(NDA)),,,
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Attestation,,,Radio group,newPurchaseRequestV02-page-5-question-2,Request for proposal,We strongly recommend going through the Request for Proposal (RFP) process to help us choose the best vendor ensuring we find the right fit for our needs and get the best value! [Check out RFP guide here](https://transferwise.atlassian.net/wiki/spaces/TPM/pages/3622411165/RFP+Process+A+Step-by-Step+Guide) and feel free to reach out on #thirdpartymanagement for assistance!,,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""NOT_EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""363f15e8-ad0e-4be1-a85b-8dc9dce61039"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}},{""key"":1,""type"":""SINGLE"",""operator"":""NOT_EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""newPurchaseRequestV02-Legal, Security & Technology information-question-6"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""54dd642e-7756-4cef-a6e3-be62d1b1c66c"",""source"":""91140b22-a9ac-4098-86a7-3c07c6250721""}}]}",
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Attestation,,,Radio group,newPurchaseRequestV03-page-5-question-3,Conflict of Interest,Please confirm that you (Relationship Owner) the Cost Centre owner or the signatory of the contract are not aware of and do not have any actual potential or perceived conflicts of interest in relation to the onboarding of this Service Provider. This means that you or to the best of your knowledge any other involved party have no personal interests such as family friendships financial or social factors that could compromise your judgment decisions or actions in relation to this Service Provider.Please ensure to consult our [Global Conflict of Interest Policy](https://transferwise.atlassian.net/wiki/spaces/CC/pages/2765980971/Global+Conflicts+of+Interest+Policy) for further guidance. In case of a conflict a ticket must be raised through the [Conflicts of Interest Tool](https://transferwise.atlassian.net/servicedesk/customer/portal/1117).,,,
